Number of species	11
Number of genes	138345
Number of genes in orthogroups	135860
Number of unassigned genes	2485
Percentage of genes in orthogroups	98.2
Percentage of unassigned genes	1.8
Number of orthogroups	10997
Number of species-specific orthogroups	410
Number of genes in species-specific orthogroups	1312
Percentage of genes in species-specific orthogroups	0.9
Mean orthogroup size	12.4
Median orthogroup size	12.0
G50 (assigned genes)	13
G50 (all genes)	13
O50 (assigned genes)	3844
O50 (all genes)	3940
Number of orthogroups with all species present	7154
Number of single-copy orthogroups	2574
Date	2021-06-23
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	2564	23.3	15683	11.5
'1	7850	71.4	102603	75.5
'2	445	4.0	11318	8.3
'3	89	0.8	3279	2.4
'4	27	0.2	1286	0.9
'5	13	0.1	760	0.6
'6	3	0.0	216	0.2
'7	1	0.0	78	0.1
'8	2	0.0	179	0.1
'9	0	0.0	0	0.0
'10	0	0.0	0	0.0
11-15	3	0.0	458	0.3
16-20	0	0.0	0	0.0
21-50	0	0.0	0	0.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	410
2	420
3	253
4	161
5	156
6	173
7	191
8	284
9	438
10	1357
11	7154
