Species Tree Node	Duplications (all)	Duplications (50% support)
N19	11	11
Drosophila_melanogaster	2467	2467
Dufourea_novaeangliae	782	782
Aedes_aegypti	6365	6365
Osmia_lignaria	2746	2746
Bombus_terrestris	2888	2888
Nasonia_vitripennis	6661	6661
Vespa_mandarinia	3403	3403
N1	976	123
Acyrthosiphon_pisum	8649	8649
Megachile_rotundata	2997	2997
N6	159	117
Megalopta_genalis	3008	3008
Eufriesea_mexicana	1401	1401
Ceratina_calcarata	3091	3091
Anopheles_gambiae	2817	2817
N8	550	550
N9	109	109
N0	1265	194
N16	23	12
N2	164	37
N3	591	105
N4	96	46
N5	627	71
Solenopsis_invicta	6453	6453
N7	283	15
N12	170	13
N13	28	28
N10	629	35
N11	35	21
Polistes_dominula	2551	2551
N17	427	427
N14	58	11
N15	138	94
N18	42	18
Osmia_bicornis	3115	3115
Bombyx_mori	4812	4812
Nomia_melanderi	3578	3578
Tribolium_castaneum	3682	3682
Habropoda_laboriosa	766	766
Apis_mellifera	2200	2200
